percentchange,high,symbol,relvolume,open,price,low,watchers,hourchange,sentiment
-2.8846,5.212,AMC,0.3403,5.23,5.05,4.98,413186,2,-2.37
-0.9645,32.46,INTC,0.4755,32.43,31.83,31.785,131272,-5,2.27
0.7505,167.41,AAPL,0.6295,166.1,166.47,165.65,878083,1,3.21
-1.3872,106.515,GOOGL,0.5757,106.49,104.5,104.07,160548,-2,-1.3
-1.4596,187.69,TSLA,0.5393,187.15,184.31,183.5887,891778,5,-0.77
-2.8698,9.285,CVNA,0.2683,9.22,8.8,8.76,23302,1,-3.04
-0.4432,220.44,META,0.3488,219.91,217.89,216.215,512939,-1,-0.63
1.1228,141.775,JPM,0.8356,140.27,141.4,139.03,82991,3,-0.05
0.7495,129.38,EA,0.5166,128.81,129.04,127.82,20704,-1,0.0
-0.4283,104.2,AMZN,0.555,103.95,102.3,101.52,588649,2,0.89
-0.1489,291.6,MSFT,0.5165,291.57,288.37,287.02,443612,8,3.43
0.9857,483.31,NOC,0.6483,475.74,479.47,475.77,8043,1,-12.5
1.3116,231.31,ENPH,0.8254,225.43,227.87,222.23,37487,-2,-1.75
-0.0313,128.68,IBM,0.4769,128.14,127.78,127.35,51381,1,-1.02
0.3356,6.02,SOFI,0.4567,6.0,5.98,5.895,91914,0,-0.8
0.1755,91.86,SONY,0.8545,91.57,91.31,90.995,2086,0,0.0
2.4628,281.0802,NVDA,1.1798,275.335,276.67,273.57,421847,6,-0.55
-0.1001,92.16,AMD,0.6994,91.61,89.78,89.33,456869,2,1.54
