open,high,percentchange,price,low,relvolume,symbol,watchers,hourchange,sentiment
29.075,29.33,0.377,29.29,28.63,0.6633,INTC,130892,2,-2.02
102.44,102.4,-1.3957,101.03,99.7401,0.707,GOOGL,159816,3,-4.52
7.57,7.72,-3.4121,7.36,7.22,0.235,CVNA,23379,0,-0.15
196.0,196.515,-1.1796,193.52,190.624,0.3801,ENPH,37300,0,-2.54
129.18,129.66,0.0232,129.34,128.8,0.4651,IBM,51347,0,1.27
157.97,158.1277,-0.398,157.65,155.98,0.5555,AAPL,876656,-1,-2.44
275.79,276.13,-0.4161,275.23,272.05,0.5713,MSFT,442493,2,-1.84
96.77,96.93,-2.1219,94.56,92.87,0.907,AMD,456320,1,-0.45
200.15,201.03,-1.0649,200.68,197.9,0.535,META,512233,0,-4.0
128.71,129.3417,0.3035,128.88,127.75,0.7437,JPM,82452,2,-5.42
264.47,265.13,-0.4561,264.1,258.5,0.6755,NVDA,420435,5,-1.23
458.31,461.5,0.1637,459.0,457.59,0.3387,NOC,8020,0,3.57
192.0,192.35,-1.3659,189.19,185.43,0.5363,TSLA,889592,4,-3.14
118.085,118.4425,-0.5226,118.02,117.38,0.5197,EA,20713,0,4.44
86.11,86.6682,-0.9464,85.82,85.74,0.8063,SONY,2081,0,0.0
5.74,5.79,-2.9514,5.59,5.51,0.5751,SOFI,91757,2,-0.37
4.51,5.5,13.1868,5.15,4.46,2.4732,AMC,412366,23,0.8
98.11,98.44,-0.816,97.24,96.29,0.4953,AMZN,587298,6,-0.62
