high,low,percentchange,open,price,relvolume,symbol,watchers,hourchange,sentiment
100.4218,98.5801,3.0954,98.69,100.25,0.6207,AMZN,587352,2,1.22
205.72,202.54,2.3271,203.56,205.35,0.5083,META,512243,1,0.12
130.22,127.77,0.2017,130.1,129.14,0.9598,JPM,82460,1,-0.93
5.9199,5.65,2.8623,5.69,5.75,0.7071,SOFI,91762,2,-1.08
102.43,100.655,0.3563,102.28,101.39,0.6183,GOOGL,159836,0,4.31
5.2084,4.83,-2.9126,5.14,5.0,0.765,AMC,412480,-5,-0.59
205.77,191.385,5.3896,196.75,203.95,0.7832,ENPH,37308,1,-0.62
270.77,265.97,2.1734,268.25,269.84,0.7093,NVDA,420470,0,-1.37
88.02,86.74,2.3887,86.93,87.87,1.1442,SONY,2084,0,0.0
96.91,94.87,1.618,96.07,96.09,0.8339,AMD,456332,0,-0.21
31.89,29.789,7.6135,29.77,31.52,1.6683,INTC,130911,8,7.05
195.28,189.44,2.479,193.13,193.88,0.674,TSLA,889638,9,0.48
7.9,7.37,6.9293,7.47,7.87,0.2295,CVNA,23365,1,-7.63
119.325,118.08,0.9914,118.08,119.19,0.4098,EA,20708,-1,0.0
281.1398,278.41,1.9184,278.96,280.51,0.5914,MSFT,442530,0,-1.71
130.348,129.18,0.2861,130.12,129.71,0.4977,IBM,51343,-1,0.76
161.04,159.35,1.9791,159.37,160.77,0.6109,AAPL,876718,11,-0.3
462.58,457.495,0.5599,459.38,461.57,0.4154,NOC,8021,0,25.0
