relvolume,low,open,high,symbol,percentchange,price,watchers,hourchange,sentiment
0.6103,102.11,102.75,104.2,AMZN,1.5038,103.95,587814,6,1.79
0.686,273.08,279.66,280.0,NVDA,-1.8309,274.53,420958,2,0.13
0.5141,104.04,104.33,105.58,GOOGL,0.345,104.72,160053,3,3.54
2.4701,3.88,4.08,4.45,AMC,-23.4834,3.91,412860,12,-4.34
0.3915,465.0,468.73,471.94,NOC,-0.2323,468.1,8036,0,0.0
1.0756,121.23,121.43,125.47,EA,3.2056,125.24,20708,0,0.0
0.5769,212.54,213.39,216.24,META,0.7744,214.72,512519,0,3.72
0.3434,8.93,9.44,9.72,CVNA,2.2605,9.5,23343,2,-2.01
0.711,190.32,197.32,198.7446,TSLA,-1.1244,192.58,890512,6,0.29
0.6455,95.21,97.038,97.27,AMD,-0.7146,95.87,456547,2,-2.3
0.5043,130.89,131.99,132.1499,IBM,-0.3483,131.6,51357,-1,0.0
0.9783,90.36,90.78,91.145,SONY,-0.3504,91.01,2087,0,0.0
0.4624,198.65,202.89,203.2,ENPH,-0.0296,202.54,37367,0,0.81
0.4678,5.835,6.1,6.095,SOFI,-2.3217,5.89,91863,2,-0.48
1.059,32.85,32.85,33.84,INTC,0.6385,33.1,131190,3,2.97
0.702,127.41,130.5,130.59,JPM,-1.3368,128.42,82526,0,8.08
0.5431,165.11,166.595,166.83,AAPL,-0.325,165.63,877179,0,0.86
0.6652,285.67,287.23,290.4499,MSFT,-0.0174,287.18,442895,2,-1.12
