relvolume,low,open,high,percentchange,price,symbol,watchers,hourchange,sentiment
0.6011,468.84,475.72,474.875,-0.4618,471.99,NOC,8044,0,1.43
0.3518,4.91,4.94,5.07,0.4024,4.99,AMC,413189,2,0.48
0.6957,138.78,139.74,141.11,-0.1917,140.54,JPM,82973,0,-3.92
0.5032,30.225,30.84,30.79,-1.8146,30.3,INTC,131284,-2,-1.16
0.504,128.695,129.05,130.12,0.2407,129.11,EA,20702,0,25.0
1.0535,125.27,126.0,126.69,-0.4986,125.73,IBM,51487,0,1.75
0.5756,283.0608,285.01,286.26,-0.1223,285.76,MSFT,443714,-6,-1.79
0.644,267.2301,269.52,271.83,0.0553,271.19,NVDA,422040,0,1.17
0.5292,209.76,210.21,213.41,-0.0845,212.89,META,513008,3,-1.19
1.2806,105.08,106.1,108.15,3.0344,106.96,AMZN,588947,7,0.38
0.7882,164.5,165.05,166.45,-0.9781,165.02,AAPL,878307,-3,-1.67
0.6306,88.055,89.8,89.72,-1.8644,88.43,AMD,456946,4,0.47
0.2397,7.735,7.97,8.29,1.75,8.14,CVNA,23256,-1,0.14
0.5543,104.79,105.47,106.0,0.114,105.41,GOOGL,160609,3,-1.19
0.7409,161.33,164.8,166.0,1.2823,165.08,TSLA,892741,-6,1.13
0.5057,219.9,223.75,226.77,-0.5249,223.61,ENPH,37490,0,1.8
0.7484,91.61,91.87,92.38,0.7332,92.05,SONY,2089,0,0.0
0.4494,5.85,5.9,5.99,0.3378,5.94,SOFI,91964,2,0.01
