high,price,low,relvolume,symbol,percentchange,open,watchers,hourchange,sentiment
100.4218,100.25,98.5801,0.6207,AMZN,3.0954,98.69,587352,2,1.22
205.72,205.35,202.54,0.5083,META,2.3271,203.56,512243,1,0.12
130.22,129.14,127.77,0.9598,JPM,0.2017,130.1,82460,1,-0.93
5.9199,5.75,5.65,0.7071,SOFI,2.8623,5.69,91762,2,-1.08
102.43,101.39,100.655,0.6183,GOOGL,0.3563,102.28,159836,0,4.31
5.2084,5.0,4.83,0.765,AMC,-2.9126,5.14,412480,-5,-0.59
205.77,203.95,191.385,0.7832,ENPH,5.3896,196.75,37308,1,-0.62
270.77,269.84,265.97,0.7093,NVDA,2.1734,268.25,420470,0,-1.37
88.02,87.87,86.74,1.1442,SONY,2.3887,86.93,2084,0,0.0
96.91,96.09,94.87,0.8339,AMD,1.618,96.07,456332,0,-0.21
31.89,31.52,29.789,1.6683,INTC,7.6135,29.77,130911,8,7.05
195.28,193.88,189.44,0.674,TSLA,2.479,193.13,889638,9,0.48
7.9,7.87,7.37,0.2295,CVNA,6.9293,7.47,23365,1,-7.63
119.325,119.19,118.08,0.4098,EA,0.9914,118.08,20708,-1,0.0
281.1398,280.51,278.41,0.5914,MSFT,1.9184,278.96,442530,0,-1.71
130.348,129.71,129.18,0.4977,IBM,0.2861,130.12,51343,-1,0.76
161.04,160.77,159.35,0.6109,AAPL,1.9791,159.37,876718,11,-0.3
462.58,461.57,457.495,0.4154,NOC,0.5599,459.38,8021,0,25.0
