high,percentchange,symbol,price,open,low,relvolume,watchers,hourchange,sentiment
271.67,-1.5152,NVDA,267.79,270.31,263.55,0.8619,420202,6,-1.07
8.47,-1.9162,CVNA,8.19,8.18,7.95,0.2716,23417,0,-0.49
99.52,-2.3235,AMD,97.95,99.18,96.74,1.0179,456184,3,-2.45
125.4,1.5563,IBM,125.29,123.36,122.88,0.6283,51327,0,-2.11
160.34,0.8306,AAPL,160.25,158.86,157.85,0.6983,876403,3,-1.12
280.63,1.048,MSFT,280.57,277.24,275.3,0.7429,442258,6,0.18
456.2,2.4323,NOC,455.25,445.08,443.105,0.7919,8012,0,-10.23
119.205,2.5767,EA,119.03,118.08,117.61,0.8715,20720,0,0.0
5.83,-0.692,SOFI,5.74,5.675,5.645,0.4643,91707,3,-0.31
4.54,0.0,AMC,4.47,4.4,4.38,0.283,411928,0,0.06
29.81,1.1368,INTC,29.36,29.04,28.93,1.0801,130867,-2,-2.08
98.295,-0.5876,AMZN,98.13,98.065,96.4,0.6949,587053,5,-1.0
207.574,0.8469,META,206.01,205.18,203.55,0.7884,512051,3,2.95
192.36,-0.9416,TSLA,190.41,191.65,187.15,0.6231,889285,11,-1.16
105.49,-0.1515,GOOGL,105.44,104.99,103.84,0.6651,159720,0,-3.52
88.3,-0.8383,SONY,87.53,88.3,86.96,1.3895,2082,0,0.0
203.55,-4.2363,ENPH,195.99,202.35,192.46,0.8771,37275,0,4.49
125.68,-1.5216,JPM,124.91,125.63,123.11,1.496,82371,0,0.29
