relvolume,symbol,low,high,percentchange,open,price,watchers,hourchange,sentiment
0.2295,CVNA,7.37,7.9,6.9293,7.47,7.87,23365,1,-7.63
0.674,TSLA,189.44,195.28,2.479,193.13,193.88,889638,9,0.48
0.4098,EA,118.08,119.325,0.9914,118.08,119.19,20708,-1,0.0
0.4977,IBM,129.18,130.348,0.2861,130.12,129.71,51343,-1,0.76
0.6109,AAPL,159.35,161.04,1.9791,159.37,160.77,876718,11,-0.3
0.5914,MSFT,278.41,281.1398,1.9184,278.96,280.51,442530,0,-1.71
0.5083,META,202.54,205.72,2.3271,203.56,205.35,512243,1,0.12
0.4154,NOC,457.495,462.27,0.5599,459.38,461.57,8021,0,25.0
0.6207,AMZN,98.5801,100.4218,3.0954,98.69,100.25,587352,2,1.22
0.9598,JPM,127.77,130.22,0.2017,130.1,129.14,82460,1,-0.93
0.7093,NVDA,265.97,270.77,2.1734,268.25,269.84,420470,0,-1.37
0.6183,GOOGL,100.655,102.43,0.3563,102.28,101.39,159836,0,4.31
0.7071,SOFI,5.65,5.9199,2.8623,5.69,5.75,91762,2,-1.08
0.7832,ENPH,191.385,205.77,5.3896,196.75,203.95,37308,1,-0.62
1.1442,SONY,86.74,88.0,2.3887,86.93,87.87,2084,0,0.0
0.765,AMC,4.83,5.2084,-2.9126,5.14,5.0,412480,-5,-0.59
0.8339,AMD,94.87,96.91,1.618,96.07,96.09,456332,0,-0.21
1.6683,INTC,29.789,31.89,7.6135,29.77,31.52,130911,8,7.05
